"","date","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","MD","MA","MI","MN","MS","MO","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"92",2014-08-24,21,0,59,26,42,15,23,0,20,36,48,20,0,41,26,30,35,43,40,23,0,28,59,20,19,21,22,34,34,24,29,39,24,35,34,17,34,36,23,0,33,0,64,32,23,32,18,24,34,53,46
"93",2014-08-31,43,32,62,44,46,34,30,0,12,44,67,27,36,44,36,55,35,38,35,21,31,19,38,0,10,43,30,26,0,46,11,23,23,34,31,31,23,16,31,21,37,0,69,34,77,30,21,27,0,30,45
"94",2014-09-07,27,0,36,17,49,49,49,21,22,63,33,20,68,54,64,52,47,46,23,21,59,45,30,38,33,21,36,39,32,36,54,30,67,41,62,38,0,52,32,20,35,0,31,51,22,86,28,29,32,42,42
"95",2014-09-14,42,0,39,0,36,73,57,43,20,58,46,27,42,35,20,22,29,56,46,52,60,28,55,58,51,61,47,47,32,23,35,26,42,41,85,33,34,48,45,31,15,19,42,44,66,29,26,46,22,42,43
"96",2014-09-21,58,61,44,34,53,37,43,0,34,37,38,75,17,37,51,30,30,42,47,61,30,47,31,19,36,21,47,42,0,25,40,26,69,50,46,33,45,33,32,20,16,0,40,36,43,28,26,29,56,64,0
"97",2014-09-28,80,0,37,34,42,46,42,22,43,56,46,41,17,39,25,15,41,17,28,40,29,19,38,19,32,42,59,55,31,33,32,29,60,51,49,37,34,48,45,40,27,19,59,52,67,55,29,42,33,38,84
"98",2014-10-05,74,0,30,34,52,61,36,22,27,55,57,48,25,50,61,61,24,54,52,20,0,57,28,48,58,21,77,33,31,51,36,36,30,53,51,30,45,48,43,20,24,37,45,55,44,28,32,41,22,42,0
"99",2014-10-12,76,46,49,34,57,53,43,22,32,82,39,40,42,58,37,29,60,38,12,41,60,28,15,48,35,42,59,50,31,51,64,33,49,75,58,50,0,44,44,31,48,19,54,53,62,27,24,68,65,31,43
"100",2014-10-19,56,31,33,17,61,50,43,22,31,52,51,54,51,56,58,60,57,55,53,40,29,28,30,38,58,31,55,41,30,51,32,24,65,43,57,27,46,54,47,30,37,0,44,54,37,0,31,19,33,31,0
"101",2014-10-26,40,47,37,34,59,52,36,44,38,36,73,41,60,48,30,59,66,38,67,40,29,36,15,47,38,41,58,68,30,45,40,48,46,48,53,53,23,27,41,40,53,18,42,50,88,26,26,50,57,48,42
"102",2014-11-02,39,45,40,42,57,47,35,22,23,62,62,44,42,41,39,43,39,33,18,73,57,18,15,46,56,61,58,61,29,48,18,27,45,59,60,26,34,51,31,19,41,18,39,38,43,25,25,46,44,28,0
"103",2014-11-09,61,30,40,33,52,47,49,44,26,60,61,35,100,57,59,29,39,38,52,31,42,52,38,19,45,51,57,39,30,46,34,30,19,29,37,31,33,47,42,39,35,35,61,53,64,26,24,44,45,45,80
"104",2014-11-16,38,62,30,49,67,54,14,22,39,46,83,63,42,56,55,21,33,31,33,21,28,45,15,19,41,43,64,68,0,65,40,34,49,41,49,46,56,56,41,19,43,0,92,70,54,26,27,53,44,35,0
"105",2014-11-23,51,32,50,65,44,25,24,24,35,48,64,36,0,51,27,55,15,28,56,34,30,19,15,0,42,23,45,34,0,44,63,22,36,42,52,27,26,43,34,21,47,19,36,54,40,58,20,43,25,46,43
"106",2014-11-30,72,0,46,31,46,78,34,21,42,64,73,34,24,49,57,55,26,22,76,29,55,33,22,18,41,20,51,54,70,22,72,30,33,58,69,48,54,42,35,57,35,0,69,66,27,72,13,48,42,51,0
"107",2014-12-07,23,30,25,41,57,45,55,22,17,57,68,70,16,58,59,42,67,50,46,20,29,86,44,19,39,43,55,70,29,49,55,13,61,40,82,70,55,64,35,56,16,26,76,67,50,36,31,26,0,55,40
"108",2014-12-14,42,32,27,87,55,40,22,24,41,63,78,73,25,61,48,22,14,100,26,21,61,45,53,40,61,45,81,83,30,78,21,17,55,35,79,36,47,77,60,41,39,0,72,85,58,26,33,45,24,50,42
"109",2014-12-21,78,55,77,85,88,59,27,42,46,71,87,50,50,91,80,81,68,98,53,74,34,32,65,23,58,54,77,100,37,100,70,14,66,70,62,75,27,91,81,25,100,0,81,82,61,29,27,59,54,51,0
"110",2014-12-28,27,34,71,38,100,62,45,0,33,75,100,19,36,71,56,91,86,69,44,100,0,58,68,63,91,50,90,56,50,80,55,38,71,88,88,62,49,69,73,69,49,100,86,100,89,52,34,99,61,100,44
"111",2015-01-04,31,0,76,59,93,57,43,34,47,100,49,36,64,67,64,100,55,66,57,90,71,53,51,68,91,66,93,77,58,60,83,63,76,50,77,53,100,79,51,30,49,26,83,74,62,0,31,100,100,67,40
"112",2015-01-11,69,45,86,56,77,24,64,46,26,59,68,18,48,50,78,57,35,52,67,99,43,17,86,58,68,53,80,47,0,41,73,16,39,57,56,51,43,69,48,49,60,34,31,69,34,36,37,82,54,50,0
"113",2015-01-18,70,46,75,16,84,52,93,94,55,54,42,52,56,50,54,56,21,55,44,59,29,35,66,29,65,21,58,42,29,43,56,28,32,42,63,30,77,100,46,39,37,17,63,61,44,24,34,62,76,32,40
"114",2015-01-25,54,30,62,64,72,49,42,0,20,57,63,43,32,37,47,27,70,62,66,49,0,81,72,38,48,40,66,64,43,43,59,35,27,57,77,32,63,55,54,47,32,25,50,58,95,23,21,53,83,59,77
"115",2015-02-01,90,30,28,47,71,55,41,67,25,61,67,60,71,48,67,13,83,37,35,20,0,75,21,57,71,40,63,56,28,48,71,37,19,63,58,45,51,50,60,72,23,16,49,53,61,47,23,48,62,54,37
"116",2015-02-08,54,61,64,16,70,45,34,22,42,61,55,26,16,72,42,47,71,40,61,20,28,75,35,28,67,20,64,74,57,48,43,28,42,41,40,42,63,46,47,18,50,48,95,56,30,34,31,73,64,54,39
